Director,Average Popularity Score
Mary Lambert,6.264333333333333
Lloyd Kaufman,6.259
Sean King,6.1945
Greg A. Sager,6.194
Rob Pallatina,6.1654
Lance Kawas,6.1434999999999995
Sonny Mallhi,6.114333333333334
Chris von Hoffmann,6.068666666666666
Jay Lee,6.06575
Adrián García Bogliano,6.015
Jim Mickle,5.98
Keith Thomas,5.968999999999999
Dave Parker,5.956250000000001
Adam Brooks,5.936
Zack Parker,5.9254999999999995
James D.R. Hickox,5.922
Colin Theys,5.8812500000000005
Kevin Tenney,5.878
Owen Egerton,5.8293333333333335
Ryan Spindell,5.806666666666666
Travis Stevens,5.799250000000001
Joseph Winter,5.786333333333334
David Flores,5.782500000000001
Craig Singer,5.775666666666667
Misty Talley,5.77025
Jared Cohn,5.768
Phillip J. Roth,5.72325
Joe Dante,5.718
Roel Reiné,5.710166666666666
Gary J. Tunnicliffe,5.6935
Paul Ziller,5.688000000000001
James Nguyen,5.637999999999999
Alexander Yellen,5.616666666666667
Rebekah McKendry,5.566333333333334
Rusty Cundieff,5.5565
Matthew Goodhue,5.539666666666666
Maurice Devereaux,5.516
Jim Wynorski,5.498047619047619
Michael Su,5.42825
Michael Oblowitz,5.4265
Raymond Wood,5.398
Justin M. Seaman,5.379
Steven C. Miller,5.263
David Hewlett,5.238999999999999
Adam Mason,5.175
Jeremy Berg,5.173
Roy Knyrim,5.148
Alexandr Babaev,5.132999999999999
Rene Perez,5.1307
Jeffery Scott Lando,5.099
Drew Marvick,5.074
Jackson Stewart,5.0465
J.T. Petty,5.044
Marcel Walz,5.042
Jack Perez,5.041333333333333
Patricio Valladares,5.001
Jim Towns,4.984
Terry Ingram,4.940666666666666
George Bessudo,4.904999999999999
John Eyres,4.894
Philip Adrian Booth,4.884333333333333
Mitesh Kumar Patel,4.882
Tom Devlin,4.8655
Pearry Reginald Teo,4.8565
Todor Chapkanov,4.852
Dale Fabrigar,4.80175
Richard Pepin,4.782
Mark Jones,4.781666666666666
Thomas J. Churchill,4.7665
Ron Oliver,4.7574
Rodman Flender,4.738333333333333
Mitchell Altieri,4.7376
Nick Simon,4.724666666666667
Tim Sullivan,4.679666666666667
Fred Vogel,4.6622
Christopher Leitch,4.6579999999999995
David Gregory,4.635
Ellory Elkayem,4.61
Gavin Wilding,4.5735
Tim Cox,4.525
Chuck Parello,4.524
David Winning,4.5145
Jeff Hare,4.4990000000000006
Andrew C. Erin,4.4825
Joe Stas,4.463
Casper Kelly,4.4590000000000005
Justin Lee,4.4565
William Butler,4.424125
Stevan Mena,4.4162
Paul Ragsdale,4.414
Sean Patrick O'Reilly,4.407333333333334
Jeff Broadstreet,4.4013333333333335
Jon Knautz,4.3
James Cullen Bressack,4.258857142857143
Nicholas McCarthy,4.256
Giulio De Santi,4.253
Don E. FauntLeRoy,4.247
Leigh Scott,4.231875
Drew Daywalt,4.2236666666666665
