Director,Average Popularity Score
Brandon Espana,0.604
Manny Serrano,0.602
Billy Garberina,0.6014999999999999
Calvin Main,0.601
Carlo Rodriguez,0.5986666666666668
Jason Figgis,0.598
Daniel Murphy,0.595
Ryan Stacy,0.5930000000000001
Steve Hudgins,0.5904
Thor Moreno,0.588
Santiago Menghini,0.5870000000000001
Conrad Brooks,0.5863333333333333
PJ Woodside,0.5835
Sean Weathers,0.5792499999999999
Augustine Dalton,0.5773333333333334
Josh Stifter,0.5756666666666667
Jimmyo Burril,0.5738000000000001
Frank Grauman,0.5723333333333332
Andy Fortenbacher,0.57
Dan Allen,0.57
Bob Bragg,0.569
Jason Liquori,0.568875
Lisa J. Dooley,0.5680000000000001
Richard Tanner,0.565
Zander Rice,0.563
Joshua Boshell,0.5616666666666666
Joe Heath,0.5573333333333333
Ansel Faraj,0.5529999999999999
Benjamin Ironside Koppin,0.552
Michael Todd Schneider,0.5499999999999999
Alex Goyette,0.5463333333333333
Devi Snively,0.5455
Joel D. Wynkoop,0.5445
Davide Melini,0.5429999999999999
Erlingur Thoroddsen,0.5385
Jeremy Clark,0.53
Quinn Bailey,0.5292
Curtis Everitt,0.5274
Sean Haitz,0.525
Adam O'Brien,0.5245
Kurtis Spieler,0.5195000000000001
Brett William Mauser,0.518
Mike Russell,0.5123333333333333
Adam R. Brown,0.5096666666666667
Dann Thombs,0.5076666666666666
Glen Baisley,0.5075
David Nguyen,0.5066666666666667
Brandon Scullion,0.5065
DeWayne Etheridge,0.5063333333333333
Kelly Weaver,0.504
Richard Poche,0.5012
Jay Lind,0.49950000000000006
Rafael De Leon Jr.,0.498
Chuck Conry,0.496
Jeff Profitt,0.49233333333333335
Reuben Rox,0.4915
Ryan Shovey,0.48766666666666664
Justin Jones,0.486
Brinceton Baum,0.4855
Sam Thompson,0.48250000000000004
Kevin Strange,0.48075
Ariel Hansen,0.478
B.J. Colangelo,0.478
Drake Dalgleish,0.4749999999999999
Rob Walker,0.472
Miles Finlayson,0.4696666666666667
Jason Coffman,0.4643333333333333
Andrew Rutter,0.4629999999999999
Mark Adams,0.4629999999999999
Landon Stahmer,0.46279999999999993
Jack Kierski,0.46099999999999997
Matthew Wade,0.45975
Lee Boxleitner,0.459
Nicholas Santos,0.449
Dustin Weible,0.4455
Adam Chandonnet,0.445
Ryan Oksenberg,0.437
Ray Etheridge,0.4323333333333334
Scott Riopelle,0.432
Mike Streeter,0.432
Ramone Menon,0.431
Milos Mitrovic,0.4306666666666667
Rob Savage,0.43
Justin French,0.4286666666666667
Trent Shy,0.428
Chloe Carroll,0.4275
Christopher Greffrath,0.4266666666666667
Roman Jossart,0.425
Luke Rosati,0.424
John R. Hand,0.424
Brian Papandrea,0.42274999999999996
J.A. Steel,0.416
Adrian Liparu,0.41580000000000006
Eric Brummer,0.41300000000000003
Luc Bernier,0.4105
Tommy Cavanagh,0.40900000000000003
Vincenzo Nappi,0.4056666666666666
Steven Shea,0.4036666666666666
Samuel Leong,0.401
Kyle Martellacci,0.40066666666666667
Anil Dhokai,0.4
Richard Terrasi,0.39749999999999996
Matt Mercer,0.3955
Shannon Casto,0.39033333333333337
Sam Barnett,0.38749999999999996
Charles A. Christman III,0.38299999999999995
Scott Shaw,0.3793333333333333
Adrian Baez,0.3765
Virat Pal,0.373
Craig Ouellette,0.37233333333333335
Mathew Kister,0.37150000000000005
Alex DiSanto,0.37133333333333335
Matt Devino,0.371
Marc Cartwright,0.36966666666666664
Oleg Mavromatti,0.368
Cameron Gallagher,0.366
Jim DeVault,0.3645
Dylan A. Young,0.3645
Michael Kallio,0.3625
Louise Weard,0.36024999999999996
Tony Watt,0.355
Mike Pine,0.3513333333333333
Kevin Cappiello,0.351
Aidan Beatty,0.3506666666666667
Wyatt Edwards,0.346
Sydney Clara Brafman,0.34550000000000003
Joseph Vrenick,0.342
Mark Mackner,0.342
Deuandra T. Brown,0.341
Dave Reda,0.3395
Christian Matzke,0.3313333333333333
Marc Chindemi,0.3293333333333333
Manny Velazquez,0.3286666666666666
Bret Miller,0.3275
Thomas Berdinski,0.3235
Brian Hirschbine,0.311
Alexandre Michaud,0.311
Duncan Smith,0.31
Ezekiel Zabrowski,0.308
Joshua Nelson,0.306
Teller,0.305
Paul Keely,0.305
David Schmidt,0.30416666666666664
Cameron McCasland,0.304
Michael Fischa,0.304
Armando Jimenez,0.299
Chris Nash,0.2925
Taylor McManus,0.292
Jeremy Isbell,0.284
Ella Price,0.281
Darla Enlow,0.276
Eric Shapiro,0.271
Galen W.E. Pendleton,0.26166666666666666
Mike C. Hartman,0.259
Patrick Fortin,0.25733333333333325
David Mankey,0.25425
Michael Bartolomeo,0.251
Kenny Brown,0.249
Azron Shai,0.24066666666666667
Frances Arpaia,0.24
Joseph Romano Thomas,0.2387142857142857
Douglas Godino,0.238
Todd Spence,0.237
Craig J McIntyre,0.237
Emir Skalonja,0.23499999999999996
Ryan Lightbourn,0.2339999999999999
Yan Kaos,0.226
Aaron Dylan Kearns,0.22499999999999992
Neil Stevens,0.21933333333333335
Jeffrey Arsenault,0.21833333333333335
David R. Williams,0.21699999999999997
Grace Nayoon Rhee,0.21599999999999997
Rollyn Stafford,0.2145
Nicholas Michael Jacobs,0.211
Grandt from Savages,0.21
Ken Cohen,0.20749999999999996
Casey Lee Danger,0.203
Trevor Allen,0.2019999999999999
Anthonee Smith,0.1985
Ryan Sheets,0.197
Ellison Winterstein,0.196
Elijahwan Butler,0.19
Jason Hoover,0.18566666666666665
Michael Rognlie,0.17833333333333332
Lorenzo Munoz Jr.,0.17433333333333334
Britton Stebbins,0.173
Octavian Kaul,0.17149999999999996
Anatasha Blakely,0.16533333333333333
Chandler Thornton,0.149
Nicole W. Solomon,0.143
Rion Smith,0.14233333333333334
Christian Ruvalcaba,0.13619999999999996
Alan Miller,0.1335
Wesley Mellott,0.131
Samuel L Johnson,0.1235
Nina Romain,0.113
Johann Tetreault,0.11299999999999999
Josh Kelly,0.11259999999999999
Jonathan Cook,0.108
Andy Koontz,0.1035
Cosmotropia de Xam,0.103
Anthony Cooney,0.102
David Nelson,0.09933333333333333
Mike Goodreau,0.09319999999999999
Christine Whitlock,0.089
Greg Hanson,0.084
Dylan Früh,0.07549999999999996
Jessie Crandall,0.073
Aaron Saldaña Cisneros,0.069
Michael Biggs,0.066
Robbie Dias,0.062
Nathanael Van Soest,0.062
Maria Robbins,0.0385
Ericka Boussarhane,0.036
Carlos Diaz,0.034
Luke Thompson,0.031
Ron DeCaro,0.0029999999999999667
Charlie Steeds,0.001
